AreaCode,AreaName,TimePeriod,Value,LowerCI95,UpperCI95,ComparedToEngland,DifferenceFromEngland
E08000025,Birmingham,2022 - 24,8.67189087870644,7.82610099951204,9.58415951430475,Worse,4.505797388922651
E06000016,Leicester,2022 - 24,7.9078174423859,6.46767322585323,9.57297991000326,Worse,3.7417239526021104
E07000197,Stafford,2022 - 24,7.88954635108481,5.24138817303562,11.4030176261137,Worse,3.7234528613010207
E06000009,Blackpool,2022 - 24,7.7574047954866,5.33896932727212,10.8946313872246,Worse,3.5913113057028108
E07000235,Malvern Hills,2022 - 24,7.51445086705202,3.9972491009599,12.8507092540179,Similar,3.34835737726823
E08000028,Sandwell,2022 - 24,7.41573033707865,6.02699759217433,9.02847156039512,Worse,3.2496368472948607
E06000031,Peterborough,2022 - 24,7.4016361511492,5.60558377679695,9.5898531722791,Worse,3.23554266136541
E07000125,Rossendale,2022 - 24,7.38188976377953,4.12857480965258,12.175999676791,Similar,3.215796273995741
E08000001,Bolton,2022 - 24,7.26141078838174,5.73038406364749,9.07563467091677,Worse,3.0953172985979505
E07000220,Rugby,2022 - 24,7.2337962962963,4.68005379677581,10.6789498530629,Worse,3.0677028065125107
E08000032,Bradford,2022 - 24,7.17680147415382,6.06707968819533,8.43070665387204,Worse,3.010707984370031
E06000020,Telford and Wrekin,2022 - 24,7.15746421267894,5.1579272644654,9.67505772672701,Worse,2.9913707228951507
E07000237,Worcester,2022 - 24,7.06832716257153,4.37374503795917,10.8051969973332,Worse,2.90223367278774
E06000039,Slough,2022 - 24,6.90448791714614,5.09040200237802,9.15455100789358,Worse,2.7383944273623504
E08000031,Wolverhampton,2022 - 24,6.8762278978389,5.36012779145924,8.68782565114741,Worse,2.7101344080551106
